decile,number_of_cities,lowest_gdp_per_capita,highest_gdp_per_capita,total_population,total_deaths,mean_age_of_death,median_age_of_death
1,556,2514,1.28987e+11,21278605,122735,60.5060,66
2,556,1.30176e+11,3.34896e+11,15876917,89560,60.8642,66
3,556,3.34952e+11,4.07702e+11,21308969,112986,63.2904,69
4,556,4.07777e+11,4.93262e+11,10964796,43660,62.2297,69
5,556,4.93747e+11,6.49166e+11,14140620,63622,59.1229,65
6,556,6.49189e+11,8.49603e+11,13370976,63220,60.7260,66
7,556,8.50314e+11,1.04767e+12,13962122,77221,61.8561,67
8,556,1.04787e+12,1.28275e+12,17914705,116942,59.2806,65
9,556,1.2831e+12,1.64434e+12,16757486,110293,61.9068,67
10,556,1.64701e+12,6.49311e+12,45753847,335801,62.7104,68
