State,Estimated_Population,Total_Deaths,Mortality_Rate
rio de janeiro,16010429,127563,7.9675
rio grande do sul,10830049,77338,7.1411
são paulo,41384039,266106,6.4302
paraná,10686247,67281,6.2960
pernambuco,8749270,54500,6.2291
paraíba,3769977,23279,6.1748
espírito santo,3487199,21273,6.1003
mato grosso do sul,2360498,14263,6.0424
minas gerais,20033665,120145,5.9972
sergipe,2019679,11414,5.6514
santa catarina,6118743,34234,5.5949
alagoas,3156108,17553,5.5616
piauí,3145325,16515,5.2506
distrito federal,2606885,13496,5.1771
bahia,14637364,75566,5.1625
goiás,5926300,30536,5.1526
ceará,8547809,43961,5.1430
rio grande do norte,3137541,16087,5.1273
tocantins,1292051,6597,5.1058
mato grosso,3001692,14899,4.9635
rondônia,1503928,7060,4.6944
acre,691132,3034,4.3899
pará,7424498,31232,4.2066
maranhão,6367138,25143,3.9489
amazonas,3393369,13191,3.8873
roraima,421499,1620,3.8434
amapá,626609,2154,3.4376
